Spot #,Position 1,Position 2,Pot Type,Hand,Board
954,UTG,CO,3BP,8s8d,QhQd5h8c4c
955,BTN,UTG,SRP,AsTs,5c2s3d7s4h
956,SB,BTN,SRP,6h5h,Ts6dAc8cQd
957,UTG,BB,SRP,AsTh,8s8hAd9sKs
958,BTN,BB,SRP,Kc8h,Ts5sJcQh3d
959,CO,BTN,4BP,Ah4h,Jd3dJh3s5c
960,BB,BTN,3BP,9h8h,3sJd2s8dJs
961,BTN,BB,SRP,AcJd,4hJs9c8hJh
962,BB,SB,SRP,Ks4s,8s8c7cJhTd
963,CO,UTG,SRP,6s5s,Jc2c9s9c2d
964,SB,CO,3BP,AcQc,KcKd9h3c6s
965,BTN,BB,SRP,Kh3h,9d2hKc4c4h
966,BTN,UTG,3BP,QdQs,9s2d8hTd7s
967,SB,BB,SRP,Qc7c,JcAd2h9s2d
968,BTN,BB,SRP,AhTh,As4cAc9d3c
969,BB,BTN,SRP,Qc8c,Ts2hTh5d3s
970,BB,SB,SRP,Jh9h,7c3s2dAd9c
971,UTG,BTN,SRP,KcQd,5s4h3dThTc
972,BTN,SB,SRP,As6c,6h9c2d5c5h
973,HJ,BTN,SRP,As7s,2cTd7h9dTs
974,CO,HJ,3BP,KsQd,9h6c4sAd5s
975,CO,UTG,SRP,8d8s,9dTc6cKhAc
976,CO,BB,SRP,AsJs,TcQh7cAh8c
977,SB,CO,3BP,9c9s,7c3h9d4h2s
978,CO,HJ,3BP,JhJc,8hKh7s6d2s
979,SB,BB,SRP,QsTs,Jh7s4h6s2d
980,BTN,SB,3BP,6h7h,AsJhQh2h6c
981,BTN,SB,3BP,6s5s,JdJh2c9c9s
982,CO,BB,SRP,AdKd,Qh4s5h2c6c
983,SB,BTN,3BP,KhQh,7s2sKc6s5h
984,UTG,HJ,SRP,6h5h,7sAs5dKs5c
985,UTG,HJ,SRP,JdJs,Jc3d5h9h4c
986,BTN,SB,SRP,Qs8s,3sTc8h8c9d
987,UTG,BTN,SRP,Kd9d,4d7s9s7c3c
988,HJ,BTN,3BP,8s8d,9c3hAs8c7h
989,CO,BB,3BP,Ac4c,5d3c3h4h7s
990,SB,HJ,3BP,JsJh,3cAsQs9h9s
991,BTN,SB,SRP,AcQs,4cTs6cKh6d
992,HJ,BTN,SRP,As2s,6h8d7dAd5c
993,UTG,BB,SRP,KhJh,2dJcJs7h5c
994,CO,BB,SRP,5h4h,7sQcKd6sAd
995,CO,UTG,SRP,JsJd,5h2sQdKsAs
996,SB,BTN,4BP,QdTd,6s3s3cKcAh
997,BTN,HJ,SRP,AhQd,9h6cTs2d3d
998,UTG,BTN,SRP,As3s,4c5h9d8h2h
999,SB,BB,SRP,QhTh,Qd7h7d9cTs
1000,BB,BTN,SRP,3h3c,Js2d5s6c3s
